STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
115190,99999, 20100203,   34.5,16,   26.3,16, 1009.4,16,  978.1,16,  21.4,16,   9.8,16,  19.4,  35.0,   37.8*,  27.7*,99.99 ,999.9, 011000,
115190,99999, 20100204,   29.5,16,   24.8,16, 1020.5,16,  988.6,16,   7.8,16,   3.2,16,   7.8, 999.9,   35.4*,  22.8*,99.99 ,999.9, 001000,
115190,99999, 20100205,   32.7,16,   27.8,16, 1014.9,16,  983.4,16,   7.3,16,   6.4,16,   9.7, 999.9,   33.8*,  30.9*,99.99 ,999.9, 010000,
115190,99999, 20100206,   34.3,16,   29.6,16, 1015.1,16,  983.7,16,   6.0,16,   3.3,16,   7.8, 999.9,   36.7*,  32.0*,99.99 ,999.9, 011000,
115190,99999, 20100207,   24.7,16,   18.6,16, 1021.4,16,  989.1,16,   6.3,16,   5.6,16,   9.7, 999.9,   30.2*,  22.8*,99.99 ,999.9, 001000,
115190,99999, 20100208,   21.1,16,   13.3,16, 1015.8,16,  983.5,16,   7.4,16,   3.0,16,   5.8, 999.9,   24.6*,  18.1*,99.99 ,999.9, 001000,
115190,99999, 20100209,   21.5,12,   14.6,12, 1008.5,12,  976.4,12,   4.5,12,   4.2,12,   5.8, 999.9,   24.3*,  16.9*,99.99 ,999.9, 011000,
115190,99999, 20100210,   25.5,16,   20.5,16, 1007.5,16,  975.7,16,   3.3,16,   3.2,16,   5.8, 999.9,   27.0*,  24.3*,99.99 ,999.9, 001000,
115190,99999, 20100211,   24.1,16,   19.4,16, 1007.1,16,  975.2,16,   3.5,16,   7.4,16,   9.7, 999.9,   25.9*,  22.3*,99.99 ,999.9, 001000,
115190,99999, 20100212,   25.1,15,   20.3,15, 1012.6,15,  980.6,15,   5.4,15,   4.8,15,   7.8, 999.9,   28.2*,  22.5*,99.99 ,999.9, 001000,
115190,99999, 20100213,   27.6,14,   21.2,14, 1015.0,14,  983.1,14,  10.8,14,   5.0,14,   7.8, 999.9,   30.0*,  25.2*,99.99 ,999.9, 001000,
115190,99999, 20100214,   24.6,16,   15.6,16, 1015.6,16,  983.5,16,  11.2,16,   3.0,16,   5.8, 999.9,   29.1*,  18.9*,99.99 ,999.9, 001000,
115190,99999, 20100215,   24.2,16,   17.0,16, 1012.3,16,  980.3,16,   6.3,16,   2.2,16,   3.9, 999.9,   29.1*,  16.9*,99.99 ,999.9, 001000,
115190,99999, 20100216,   27.3,16,   19.8,16, 1008.2,16,  976.5,16,   6.3,16,   3.3,16,   5.8, 999.9,   31.6*,  22.1*,99.99 ,999.9, 001000,
115190,99999, 20100217,   29.2,16,   24.1,16, 1002.5,16,  971.1,16,   3.2,16,   2.4,16,   5.8, 999.9,   32.7*,  23.5*, 0.00I,999.9, 000000,
115190,99999, 20100218,   35.2,16,   30.6,16, 1001.9,16,  970.9,16,   3.7,16,   2.8,16,   5.8, 999.9,   37.4*,  32.9*,99.99 ,999.9, 010000,
115190,99999, 20100219,   34.5,15,   31.8,15,  996.6,15,  965.8,15,   3.3,15,   2.8,15,   5.8, 999.9,   36.1*,  31.1*,99.99 ,999.9, 010000,
115190,99999, 20100220,   35.7,16,   28.6,16,  999.7,16,  968.8,16,  12.5,16,   6.3,16,  13.6, 999.9,   40.1*,  31.3*,99.99 ,999.9, 010000,
115190,99999, 20100221,   34.7,16,   27.0,16, 1004.4,16,  973.2,16,  13.7,16,   6.3,16,  13.6,  21.4,   41.2*,  30.7*, 0.00I,999.9, 000000,
115190,99999, 20100222,   36.2,16,   25.0,16, 1000.2,16,  969.3,16,  12.4,16,   3.3,16,   7.8, 999.9,   43.7*,  27.9*, 0.00I,999.9, 000000,
115190,99999, 20100223,   42.0,16,   30.7,16,  998.2,16,  967.8,16,  12.9,16,   4.7,16,   7.8, 999.9,   49.1*,  37.0*,99.99 ,999.9, 010000,
115190,99999, 20100224,   43.0,16,   38.1,16, 1003.4,16,  972.9,16,  11.4,16,   3.6,16,   7.8, 999.9,   48.4*,  39.4*,99.99 ,999.9, 010000,
115190,99999, 20100225,   45.0,16,   34.8,16, 1003.8,16,  973.4,16,  14.1,16,   4.6,16,   7.8, 999.9,   54.5*,  38.8*,99.99 ,999.9, 010000,
115190,99999, 20100226,   42.1,16,   34.8,16,  997.9,16,  967.5,16,  12.3,16,   6.2,16,  17.5,  25.3,   45.9*,  38.8*,99.99 ,999.9, 010000,
115190,99999, 20100227,   42.7,16,   28.9,16, 1007.1,16,  976.4,16,  29.9,16,   8.3,16,  15.5, 999.9,   49.6*,  37.9*,99.99 ,999.9, 010000,
115190,99999, 20100228,   43.1,16,   28.4,16,  997.1,16,  966.7,16,  17.4,16,   7.2,16,  17.5,  29.1,   53.8*,  35.8*,99.99 ,999.9, 010000,
115190,99999, 20100301,   43.5,16,   27.5,16, 1007.5,16,  976.8,16,  29.3,16,  14.8,16,  23.3,  40.8,   48.0*,  37.8*,99.99 ,999.9, 010000,
115190,99999, 20100302,   37.4,16,   24.6,16, 1019.8,16,  988.4,16,  17.9,16,   8.1,16,  11.7,  21.4,   43.7*,  31.6*, 0.00I,999.9, 000000,
115190,99999, 20100303,   35.1,15,   20.0,15, 1022.2,15,  990.5,15,  26.4,15,   6.6,15,  11.7,  21.4,   40.3*,  29.7*, 0.00I,999.9, 000000,
115190,99999, 20100304,   31.9,16,   20.6,16, 1017.0,16,  985.3,16,  15.2,16,   5.0,16,  11.7, 999.9,   38.3*,  25.7*,99.99 ,999.9, 001000,
115190,99999, 20100305,   26.4,16,   13.8,16, 1021.4,16,  989.2,16,  12.8,16,   8.6,16,  11.7,  21.4,   28.4*,  25.0*,99.99 ,999.9, 001000,
115190,99999, 20100306,   25.1,16,   16.3,16, 1019.8,16,  987.6,16,   7.6,16,   7.2,16,  11.7,  21.4,   28.2*,  21.4*,99.99 ,999.9, 001000,
115190,99999, 20100307,   24.9,16,   14.2,16, 1031.5,16,  998.9,16,  13.0,16,   4.5,16,   9.7, 999.9,   32.0*,  17.6*,99.99 ,999.9, 001000,
115190,99999, 20100308,   27.1,16,   17.3,16, 1027.2,16,  994.9,16,  12.8,16,   5.3,16,   7.8, 999.9,   32.9*,  23.5*,99.99 ,999.9, 001000,
115190,99999, 20100309,   26.6,16,   11.3,16, 1027.8,16,  995.4,16,  11.4,16,   5.7,16,   9.7, 999.9,   33.4*,  20.1*, 0.00I,999.9, 000000,
115190,99999, 20100310,   29.0,16,   10.7,16, 1025.6,16,  993.4,16,  10.9,16,   6.6,16,  11.7, 999.9,   36.5*,  20.7*, 0.00I,999.9, 000000,
115190,99999, 20100311,   32.2,16,   15.8,16, 1015.9,16,  984.2,16,   9.2,16,   4.9,16,   7.8, 999.9,   36.1*,  28.4*, 0.00I,999.9, 000000,
115190,99999, 20100312,   32.0,16,   25.1,16, 1016.2,16,  984.6,16,   5.7,16,   8.0,16,  11.7, 999.9,   38.1*,  25.0*,99.99 ,999.9, 011000,
115190,99999, 20100313,   37.8,16,   27.9,16, 1018.0,16,  986.7,16,  12.9,16,  12.5,16,  15.5,  25.3,   39.2*,  36.5*,99.99 ,999.9, 011000,
115190,99999, 20100314,   39.5,16,   30.1,16, 1016.1,16,  984.9,16,  13.9,16,  16.3,16,  19.4,  35.0,   42.4*,  32.9*,99.99 ,999.9, 011000,
115190,99999, 20100315,   35.1,16,   24.6,16, 1018.7,16,  987.2,16,  14.8,16,  11.9,16,  17.5,  27.2,   38.5*,  31.6*,99.99 ,999.9, 011000,
115190,99999, 20100316,   36.3,16,   28.4,16, 1022.6,16,  991.0,16,  10.1,16,   7.8,16,  13.6,  23.3,   38.8*,  34.7*,99.99 ,999.9, 011000,
115190,99999, 20100317,   41.4,16,   29.4,16, 1027.2,16,  995.9,16,  12.7,16,   8.1,16,  13.6, 999.9,   47.8*,  36.5*, 0.00I,999.9, 000000,
115190,99999, 20100318,   47.6,16,   30.1,16, 1025.5,16,  994.5,16,   9.2,16,   5.6,16,   7.8, 999.9,   60.1*,  35.4*, 0.00I,999.9, 000000,
115190,99999, 20100319,   49.9,16,   32.5,16, 1021.2,16,  990.5,16,  12.9,16,   7.4,16,  13.6, 999.9,   61.2*,  39.4*, 0.00I,999.9, 000000,
115190,99999, 20100320,   51.8,16,   39.3,16, 1015.3,16,  985.0,16,  13.9,16,   8.4,16,  17.5,  27.2,   60.3*,  41.9*,99.99 ,999.9, 010000,
115190,99999, 20100321,   55.7,16,   47.8,16, 1014.4,16,  984.3,16,  13.9,16,  10.0,16,  15.5,  27.2,   59.7*,  52.3*,99.99 ,999.9, 010000,
115190,99999, 20100322,   50.5,16,   33.4,16, 1023.1,16,  992.4,16,  16.1,15,   3.8,16,   5.8, 999.9,   61.7*,  43.9*,99.99 ,999.9, 010000,
115190,99999, 20100323,   52.0,16,   37.3,16, 1020.4,16,  989.9,16,  13.0,16,   5.2,16,   9.7, 999.9,   63.7*,  41.2*, 0.00I,999.9, 000000,
115190,99999, 20100324,   51.4,16,   37.6,16, 1018.3,16,  987.8,16,  10.2,16,   4.5,16,   9.7, 999.9,   63.0*,  36.3*, 0.00I,999.9, 000000,
115190,99999, 20100325,   56.8,16,   41.7,16, 1012.4,16,  982.4,16,  13.2,16,   2.9,16,   5.8, 999.9,   69.1*,  43.0*, 0.00I,999.9, 000000,
115190,99999, 20100326,   56.4,16,   43.4,16, 1007.8,16,  977.9,16,  10.7,16,   7.6,16,  15.5,  29.1,   69.8*,  46.0*,99.99 ,999.9, 010010,
115190,99999, 20100327,   47.8,16,   37.1,16, 1008.2,16,  977.8,16,  19.8,16,  11.0,16,  17.5,  29.1,   53.4*,  43.3*,99.99 ,999.9, 010000,
115190,99999, 20100328,   46.7,16,   38.2,16, 1011.4,16,  980.8,16,  13.4,16,   8.9,16,  13.6,  27.2,   53.2*,  42.1*,99.99 ,999.9, 010000,
115190,99999, 20100329,   50.5,16,   42.9,16, 1008.8,16,  978.6,16,  16.3,16,   6.9,16,  13.6,  23.3,   57.7*,  43.3*,99.99 ,999.9, 010000,
115190,99999, 20100330,   55.1,16,   42.1,16,  999.6,16,  969.9,16,  13.3,16,   5.0,16,  11.7,  21.4,   66.6*,  41.7*,99.99 ,999.9, 010000,
115190,99999, 20100331,   46.7,16,   37.1,16, 1004.0,16,  973.6,16,  15.9,16,   8.9,16,  19.4,  27.2,   51.8*,  41.5*,99.99 ,999.9, 010000,
115190,99999, 20100401,   43.7,16,   32.2,16, 1013.3,16,  982.5,16,  15.9,16,   6.8,16,   9.7, 999.9,   50.4*,  36.3*,99.99 ,999.9, 010000,
115190,99999, 20100402,   44.2,16,   30.7,16, 1018.2,16,  987.3,16,  14.2,16,   3.3,16,   5.8, 999.9,   50.9*,  37.9*, 0.00I,999.9, 000000,
115190,99999, 20100403,   47.3,16,   31.5,16, 1015.4,16,  984.8,16,  16.5,16,   3.2,16,   5.8, 999.9,   57.9*,  33.6*, 0.00I,999.9, 000000,
115190,99999, 20100404,   50.6,16,   35.5,16, 1014.2,16,  983.8,16,  18.3,16,   5.1,16,   9.7, 999.9,   59.7*,  39.9*,99.99 ,999.9, 010000,
115190,99999, 20100405,   47.0,12,   32.6,12, 1025.9,12,  994.9,12,  17.9,12,   8.9,12,  15.5,  23.3,   49.6*,  41.2*, 0.00I,999.9, 000000,
115190,99999, 20100406,   46.2,15,   29.0,15, 1027.8,15,  996.7,15,  13.3,15,   3.5,15,   7.8, 999.9,   55.2*,  35.4*, 0.00I,999.9, 000000,
115190,99999, 20100407,   48.9,16,   31.0,16, 1024.3,16,  993.4,16,  15.1,16,   3.8,16,   7.8, 999.9,   59.2*,  35.2*, 0.00I,999.9, 000000,
115190,99999, 20100408,   53.6,16,   33.1,16, 1023.7,16,  993.2,16,  13.4,16,   2.1,16,   3.9, 999.9,   67.5*,  38.3*, 0.00I,999.9, 000000,
115190,99999, 20100409,   49.7,16,   34.5,16, 1028.4,16,  997.5,16,  13.7,16,   5.8,16,  11.7,  21.4,   58.6*,  43.2*, 0.00I,999.9, 000000,
115190,99999, 20100410,   43.8,16,   33.2,16, 1026.0,16,  994.9,16,  16.5,16,   8.7,16,  13.6,  25.3,   48.4*,  39.4*,99.99 ,999.9, 010000,
115190,99999, 20100411,   40.6,16,   34.8,16, 1022.1,16,  990.9,16,  11.5,16,   6.1,16,  11.7, 999.9,   46.2*,  35.6*,99.99 ,999.9, 011000,
115190,99999, 20100412,   42.3,16,   38.3,16, 1018.1,16,  987.1,16,   6.6,16,   2.4,16,   5.8, 999.9,   49.3*,  35.4*,99.99 ,999.9, 010000,
115190,99999, 20100413,   50.3,16,   43.3,16, 1014.9,16,  984.4,16,   9.9,16,   4.0,16,   9.7, 999.9,   56.8*,  45.3*,99.99 ,999.9, 010000,
115190,99999, 20100414,   46.6,16,   40.0,16, 1013.6,16,  983.0,16,  10.2,16,   6.7,16,   9.7, 999.9,   51.8*,  43.3*,99.99 ,999.9, 010000,
115190,99999, 20100415,   45.6,16,   40.7,16, 1015.2,16,  984.4,16,   9.0,16,   7.5,16,   9.7, 999.9,   48.4*,  43.7*,99.99 ,999.9, 010000,
115190,99999, 20100416,   48.7,16,   33.3,16, 1019.2,16,  988.5,16,  16.8,16,   6.3,16,  11.7, 999.9,   57.4*,  41.2*, 0.00I,999.9, 000000,
115190,99999, 20100417,   49.1,16,   31.1,16, 1022.1,16,  991.3,16,  13.3,16,   2.9,16,   5.8, 999.9,   61.9*,  35.2*, 0.00I,999.9, 000000,
115190,99999, 20100418,   52.2,16,   34.8,16, 1015.3,16,  984.9,16,  12.9,16,   5.3,16,  11.7, 999.9,   62.2*,  36.7*, 0.00I,999.9, 000000,
115190,99999, 20100419,   57.0,16,   37.7,16, 1012.6,16,  982.6,16,  14.0,16,   3.5,16,   7.8, 999.9,   68.0*,  44.4*,99.99 ,999.9, 010000,
115190,99999, 20100420,   55.4,16,   35.6,16, 1013.1,16,  983.0,16,  12.2,16,   5.2,16,  11.7,  23.3,   63.9*,  46.8*,99.99 ,999.9, 010000,
115190,99999, 20100421,   45.6,16,   30.2,16, 1015.1,16,  984.4,16,  14.8,16,   9.3,16,  15.5,  27.2,   50.0*,  39.0*,99.99 ,999.9, 010000,
115190,99999, 20100422,   44.7,16,   24.1,16, 1017.6,16,  986.7,16,  17.8,16,   5.6,16,   9.7, 999.9,   54.5*,  34.2*, 0.00I,999.9, 000000,
115190,99999, 20100423,   49.6,16,   26.7,16, 1017.3,16,  986.7,16,  15.5,16,   3.2,16,   5.8, 999.9,   62.4*,  32.9*, 0.00I,999.9, 000000,
115190,99999, 20100424,   54.9,16,   34.8,16, 1021.8,16,  991.4,16,  12.9,16,   2.7,16,   5.8, 999.9,   66.7*,  39.2*, 0.00I,999.9, 000000,
115190,99999, 20100425,   59.5,16,   36.1,16, 1024.7,16,  994.5,16,  14.1,16,   4.0,16,   7.8, 999.9,   70.5*,  43.2*, 0.00I,999.9, 000000,
115190,99999, 20100426,   57.9,16,   41.8,16, 1022.4,16,  992.2,16,  19.4,16,   5.7,16,  13.6,  23.3,   66.6*,  48.4*,99.99 ,999.9, 010000,
115190,99999, 20100427,   55.1,16,   39.7,16, 1026.3,16,  995.8,16,  14.4,16,   5.9,16,   9.7, 999.9,   63.3*,  47.3*, 0.00I,999.9, 000000,
115190,99999, 20100428,   56.7,16,   38.6,16, 1026.5,16,  996.0,16,  13.0,16,   3.3,16,   5.8, 999.9,   67.8*,  41.4*, 0.00I,999.9, 000000,
115190,99999, 20100429,   63.8,16,   38.6,16, 1017.0,16,  987.2,16,  17.1,16,   4.0,16,   7.8, 999.9,   76.1*,  47.1*, 0.00I,999.9, 000000,
115190,99999, 20100430,   66.8,16,   46.8,16, 1009.8,16,  980.5,16,  16.0,16,   8.5,16,  15.5,  23.3,   77.5*,  54.7*,99.99 ,999.9, 010000,
115190,99999, 20100501,   61.4,16,   49.1,16, 1010.3,16,  980.7,16,  13.6,16,   7.2,16,  13.6, 999.9,   69.3*,  54.7*,99.99 ,999.9, 010000,
115190,99999, 20100502,   56.3,16,   51.0,16, 1009.8,16,  979.9,16,  11.1,16,   3.8,16,   7.8, 999.9,   62.1*,  52.3*,99.99 ,999.9, 010000,
115190,99999, 20100503,   55.1,16,   48.5,16, 1010.0,16,  980.0,16,  12.7,16,   5.2,16,   7.8, 999.9,   58.8*,  52.0*,99.99 ,999.9, 010000,
115190,99999, 20100504,   52.1,12,   44.3,12, 1016.2,12,  985.9,12,  12.8,12,   6.3,12,   7.8, 999.9,   55.9*,  47.7*,99.99 ,999.9, 010000,
115190,99999, 20100505,   48.3,16,   42.2,16, 1014.6,16,  984.1,16,  11.1,16,   7.3,16,  11.7, 999.9,   53.1*,  46.0*,99.99 ,999.9, 010000,
115190,99999, 20100506,   51.8,16,   48.0,16, 1001.3,16,  971.4,16,  11.7,16,   6.4,16,   9.7, 999.9,   59.0*,  47.3*,99.99 ,999.9, 010010,
115190,99999, 20100507,   51.3,16,   40.2,16, 1007.2,16,  977.1,16,  25.1,16,   5.7,16,  11.7, 999.9,   57.7*,  44.4*, 0.00I,999.9, 000000,
115190,99999, 20100508,   55.0,16,   39.5,16, 1010.5,16,  980.5,16,  15.8,16,   2.8,16,   5.8, 999.9,   65.3*,  46.0*, 0.00I,999.9, 000000,
115190,99999, 20100509,   55.5,16,   43.4,16, 1009.3,16,  979.3,16,  12.9,16,   4.4,16,  17.5,  23.3,   67.6*,  43.0*,99.99 ,999.9, 010010,
