udaj,kod,text,idob,budid
Identifikátor adresy RÚIAN,21946361,,1000156893,219965
Okres,40924,Praha,1000156907,684950
Městský obvod Prahy,43,Praha 4,1000156907,684950
Obec,554782,Praha,1000156907,684950
Část obce,490156,Nusle,1000156907,684950
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156907,684950
PSČ a adresní pošta,14000,Praha 4,1000156907,684950
Ulice,465666,Pod vilami,1000156907,684950
Číslo domovní,756,číslo popisné,1000156907,684950
Číslo orientační,14,,1000156907,684950
Typ adresy,1,Hlavní adresa,1000156907,684950
Zadní vchod,0,ne,1000156907,684950
Identifikátor adresy RSO (IDADR),30000517712,,1000156907,684950
Identifikátor adresy ISEO (PČD),2471285,,1000156907,684950
Identifikátor adresy RÚIAN,21946370,,1000156907,684950
Okres,40924,Praha,1000153487,219671
Městský obvod Prahy,43,Praha 4,1000153487,219671
Obec,554782,Praha,1000153487,219671
Část obce,490156,Nusle,1000153487,219671
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000153487,219671
PSČ a adresní pošta,14000,Praha 4,1000153487,219671
Ulice,470791,Svatoslavova,1000153487,219671
Číslo domovní,259,číslo popisné,1000153487,219671
Číslo orientační,16,,1000153487,219671
Typ adresy,1,Hlavní adresa,1000153487,219671
Zadní vchod,0,ne,1000153487,219671
Identifikátor adresy RSO (IDADR),30000508322,,1000153487,219671
Identifikátor adresy ISEO (PČD),2470919,,1000153487,219671
Identifikátor adresy RÚIAN,21942901,,1000153487,219671
Okres,40924,Praha,1000153495,219672
Městský obvod Prahy,43,Praha 4,1000153495,219672
Obec,554782,Praha,1000153495,219672
Část obce,490156,Nusle,1000153495,219672
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000153495,219672
PSČ a adresní pošta,14000,Praha 4,1000153495,219672
Ulice,470791,Svatoslavova,1000153495,219672
Číslo domovní,260,číslo popisné,1000153495,219672
Číslo orientační,14,,1000153495,219672
Typ adresy,1,Hlavní adresa,1000153495,219672
Zadní vchod,0,ne,1000153495,219672
Identifikátor adresy RSO (IDADR),30000508331,,1000153495,219672
Identifikátor adresy ISEO (PČD),2470920,,1000153495,219672
Identifikátor adresy RÚIAN,21942919,,1000153495,219672
Okres,40924,Praha,1000153509,685088
Městský obvod Prahy,43,Praha 4,1000153509,685088
Obec,554782,Praha,1000153509,685088
Část obce,490156,Nusle,1000153509,685088
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000153509,685088
PSČ a adresní pošta,14000,Praha 4,1000153509,685088
Ulice,470791,Svatoslavova,1000153509,685088
Číslo domovní,261,číslo popisné,1000153509,685088
Číslo orientační,18,,1000153509,685088
Typ adresy,1,Hlavní adresa,1000153509,685088
Zadní vchod,0,ne,1000153509,685088
Identifikátor adresy RSO (IDADR),30000508349,,1000153509,685088
Identifikátor adresy ISEO (PČD),2470921,,1000153509,685088
Identifikátor adresy RÚIAN,21942927,,1000153509,685088
Okres,40924,Praha,1000153584,219678
Městský obvod Prahy,43,Praha 4,1000153584,219678
Obec,554782,Praha,1000153584,219678
Část obce,490156,Nusle,1000153584,219678
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000153584,219678
PSČ a adresní pošta,14000,Praha 4,1000153584,219678
Ulice,470791,Svatoslavova,1000153584,219678
Číslo domovní,277,číslo popisné,1000153584,219678
Číslo orientační,12,,1000153584,219678
Typ adresy,1,Hlavní adresa,1000153584,219678
Zadní vchod,0,ne,1000153584,219678
Identifikátor adresy RSO (IDADR),30000508381,,1000153584,219678
Identifikátor adresy ISEO (PČD),2470930,,1000153584,219678
Identifikátor adresy RÚIAN,21943001,,1000153584,219678
Okres,40924,Praha,1000153665,219685
Městský obvod Prahy,43,Praha 4,1000153665,219685
Obec,554782,Praha,1000153665,219685
Část obce,490156,Nusle,1000153665,219685
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000153665,219685
PSČ a adresní pošta,14000,Praha 4,1000153665,219685
Ulice,470791,Svatoslavova,1000153665,219685
Číslo domovní,288,číslo popisné,1000153665,219685
Číslo orientační,10,,1000153665,219685
Typ adresy,1,Hlavní adresa,1000153665,219685
Zadní vchod,0,ne,1000153665,219685
Identifikátor adresy RSO (IDADR),30007772459,,1000153665,219685
Identifikátor adresy ISEO (PČD),2470886,,1000153665,219685
Identifikátor adresy RÚIAN,21943087,,1000153665,219685
Okres,40924,Praha,1000154025,219711
Městský obvod Prahy,43,Praha 4,1000154025,219711
Obec,554782,Praha,1000154025,219711
Část obce,490156,Nusle,1000154025,219711
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154025,219711
PSČ a adresní pošta,14000,Praha 4,1000154025,219711
Ulice,465666,Pod vilami,1000154025,219711
Číslo domovní,333,číslo popisné,1000154025,219711
Číslo orientační,1,,1000154025,219711
Typ adresy,1,Hlavní adresa,1000154025,219711
Zadní vchod,0,ne,1000154025,219711
Identifikátor adresy RSO (IDADR),30000068721,,1000154025,219711
Identifikátor adresy ISEO (PČD),NA,,1000154025,219711
Identifikátor adresy RÚIAN,22745491,,1000154025,219711
Okres,40924,Praha,1000154025,3395694
Městský obvod Prahy,43,Praha 4,1000154025,3395694
Obec,554782,Praha,1000154025,3395694
Část obce,490156,Nusle,1000154025,3395694
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154025,3395694
PSČ a adresní pošta,14000,Praha 4,1000154025,3395694
Ulice,477966,Vladimírova,1000154025,3395694
Číslo domovní,333,číslo popisné,1000154025,3395694
Číslo orientační,2,,1000154025,3395694
Typ adresy,1,Hlavní adresa,1000154025,3395694
Zadní vchod,0,ne,1000154025,3395694
Identifikátor adresy RSO (IDADR),30000068730,,1000154025,3395694
Identifikátor adresy ISEO (PČD),NA,,1000154025,3395694
Identifikátor adresy RÚIAN,22745505,,1000154025,3395694
Okres,40924,Praha,1000154025,3395695
Městský obvod Prahy,43,Praha 4,1000154025,3395695
Obec,554782,Praha,1000154025,3395695
Část obce,490156,Nusle,1000154025,3395695
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154025,3395695
PSČ a adresní pošta,14000,Praha 4,1000154025,3395695
Ulice,470791,Svatoslavova,1000154025,3395695
Číslo domovní,333,číslo popisné,1000154025,3395695
Číslo orientační,4,,1000154025,3395695
Typ adresy,1,Hlavní adresa,1000154025,3395695
Zadní vchod,0,ne,1000154025,3395695
Identifikátor adresy RSO (IDADR),30028228332,,1000154025,3395695
Identifikátor adresy ISEO (PČD),2470981,,1000154025,3395695
Identifikátor adresy RÚIAN,21943443,,1000154025,3395695
Okres,40924,Praha,1000154025,3395696
Městský obvod Prahy,43,Praha 4,1000154025,3395696
Obec,554782,Praha,1000154025,3395696
Část obce,490156,Nusle,1000154025,3395696
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154025,3395696
PSČ a adresní pošta,14000,Praha 4,1000154025,3395696
Ulice,470791,Svatoslavova,1000154025,3395696
Číslo domovní,333,číslo popisné,1000154025,3395696
Číslo orientační,6,,1000154025,3395696
Typ adresy,1,Hlavní adresa,1000154025,3395696
Zadní vchod,0,ne,1000154025,3395696
Identifikátor adresy RSO (IDADR),30028228391,,1000154025,3395696
Identifikátor adresy ISEO (PČD),2470982,,1000154025,3395696
Identifikátor adresy RÚIAN,21943451,,1000154025,3395696
Okres,40924,Praha,1000154238,219735
Městský obvod Prahy,43,Praha 4,1000154238,219735
Obec,554782,Praha,1000154238,219735
Část obce,490156,Nusle,1000154238,219735
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154238,219735
PSČ a adresní pošta,14000,Praha 4,1000154238,219735
Ulice,470791,Svatoslavova,1000154238,219735
Číslo domovní,355,číslo popisné,1000154238,219735
Číslo orientační,8,,1000154238,219735
Typ adresy,1,Hlavní adresa,1000154238,219735
Zadní vchod,0,ne,1000154238,219735
Identifikátor adresy RSO (IDADR),30000508853,,1000154238,219735
Identifikátor adresy ISEO (PČD),2470944,,1000154238,219735
Identifikátor adresy RÚIAN,21943664,,1000154238,219735
Okres,40924,Praha,1000157318,220004
Městský obvod Prahy,43,Praha 4,1000157318,220004
Obec,554782,Praha,1000157318,220004
Část obce,490156,Nusle,1000157318,220004
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000157318,220004
PSČ a adresní pošta,14000,Praha 4,1000157318,220004
Ulice,465666,Pod vilami,1000157318,220004
Číslo domovní,801,číslo popisné,1000157318,220004
Číslo orientační,5,,1000157318,220004
Typ adresy,1,Hlavní adresa,1000157318,220004
Zadní vchod,0,ne,1000157318,220004
Identifikátor adresy RSO (IDADR),30000519987,,1000157318,220004
Identifikátor adresy ISEO (PČD),2471335,,1000157318,220004
Identifikátor adresy RÚIAN,21946809,,1000157318,220004
Okres,40924,Praha,1000157326,220005
Městský obvod Prahy,43,Praha 4,1000157326,220005
Obec,554782,Praha,1000157326,220005
Část obce,490156,Nusle,1000157326,220005
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000157326,220005
PSČ a adresní pošta,14000,Praha 4,1000157326,220005
Ulice,465666,Pod vilami,1000157326,220005
Číslo domovní,802,číslo popisné,1000157326,220005
Číslo orientační,7,,1000157326,220005
Typ adresy,1,Hlavní adresa,1000157326,220005
Zadní vchod,0,ne,1000157326,220005
Identifikátor adresy RSO (IDADR),30000519995,,1000157326,220005
Identifikátor adresy ISEO (PČD),2471336,,1000157326,220005
Identifikátor adresy RÚIAN,21946817,,1000157326,220005
Okres,40924,Praha,1000157806,220046
Městský obvod Prahy,43,Praha 4,1000157806,220046
Obec,554782,Praha,1000157806,220046
Část obce,490156,Nusle,1000157806,220046
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000157806,220046
PSČ a adresní pošta,14000,Praha 4,1000157806,220046
Ulice,465666,Pod vilami,1000157806,220046
Číslo domovní,854,číslo popisné,1000157806,220046
Číslo orientační,3,,1000157806,220046
Typ adresy,1,Hlavní adresa,1000157806,220046
Zadní vchod,0,ne,1000157806,220046
Identifikátor adresy RSO (IDADR),30000520390,,1000157806,220046
Identifikátor adresy ISEO (PČD),2471474,,1000157806,220046
Identifikátor adresy RÚIAN,21947287,,1000157806,220046
Okres,40924,Praha,1000157831,220048
Městský obvod Prahy,43,Praha 4,1000157831,220048
Obec,554782,Praha,1000157831,220048
Část obce,490156,Nusle,1000157831,220048
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000157831,220048
PSČ a adresní pošta,14000,Praha 4,1000157831,220048
Ulice,465666,Pod vilami,1000157831,220048
Číslo domovní,857,číslo popisné,1000157831,220048
Číslo orientační,9,,1000157831,220048
Typ adresy,1,Hlavní adresa,1000157831,220048
Zadní vchod,0,ne,1000157831,220048
Identifikátor adresy RSO (IDADR),30000520420,,1000157831,220048
Identifikátor adresy ISEO (PČD),2471477,,1000157831,220048
Identifikátor adresy RÚIAN,21947317,,1000157831,220048
Okres,40924,Praha,1000158926,220143
Městský obvod Prahy,43,Praha 4,1000158926,220143
Obec,554782,Praha,1000158926,220143
Část obce,490156,Nusle,1000158926,220143
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000158926,220143
PSČ a adresní pošta,14000,Praha 4,1000158926,220143
Ulice,465666,Pod vilami,1000158926,220143
Číslo domovní,1038,číslo popisné,1000158926,220143
Číslo orientační,13,,1000158926,220143
Typ adresy,1,Hlavní adresa,1000158926,220143
Zadní vchod,0,ne,1000158926,220143
Identifikátor adresy RSO (IDADR),30000522996,,1000158926,220143
Identifikátor adresy ISEO (PČD),2471623,,1000158926,220143
Identifikátor adresy RÚIAN,21948488,,1000158926,220143
Okres,40924,Praha,1000160319,220265
Městský obvod Prahy,43,Praha 4,1000160319,220265
Obec,554782,Praha,1000160319,220265
Část obce,490156,Nusle,1000160319,220265
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000160319,220265
PSČ a adresní pošta,14000,Praha 4,1000160319,220265
Ulice,465666,Pod vilami,1000160319,220265
Číslo domovní,1193,číslo popisné,1000160319,220265
Číslo orientační,11,,1000160319,220265
Typ adresy,1,Hlavní adresa,1000160319,220265
Zadní vchod,0,ne,1000160319,220265
Identifikátor adresy RSO (IDADR),30000528463,,1000160319,220265
Identifikátor adresy ISEO (PČD),2471723,,1000160319,220265
Identifikátor adresy RÚIAN,21949891,,1000160319,220265
Okres,40924,Praha,1000152332,219575
Městský obvod Prahy,43,Praha 4,1000152332,219575
Obec,554782,Praha,1000152332,219575
Část obce,490156,Nusle,1000152332,219575
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000152332,219575
PSČ a adresní pošta,14000,Praha 4,1000152332,219575
Ulice,465666,Pod vilami,1000152332,219575
Číslo domovní,32,číslo popisné,1000152332,219575
Číslo orientační,28,,1000152332,219575
Typ adresy,1,Hlavní adresa,1000152332,219575
Zadní vchod,0,ne,1000152332,219575
Identifikátor adresy RSO (IDADR),30000502987,,1000152332,219575
Identifikátor adresy ISEO (PČD),2470663,,1000152332,219575
Identifikátor adresy RÚIAN,21941785,,1000152332,219575
Okres,40924,Praha,1000156133,219898
Městský obvod Prahy,43,Praha 4,1000156133,219898
Obec,554782,Praha,1000156133,219898
Část obce,490156,Nusle,1000156133,219898
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156133,219898
PSČ a adresní pošta,14000,Praha 4,1000156133,219898
Ulice,465666,Pod vilami,1000156133,219898
Číslo domovní,669,číslo popisné,1000156133,219898
Číslo orientační,23,,1000156133,219898
Typ adresy,1,Hlavní adresa,1000156133,219898
Zadní vchod,0,ne,1000156133,219898
Identifikátor adresy RSO (IDADR),30000515027,,1000156133,219898
Identifikátor adresy ISEO (PČD),2471258,,1000156133,219898
Identifikátor adresy RÚIAN,21945586,,1000156133,219898
Okres,40924,Praha,1000156141,219899
Městský obvod Prahy,43,Praha 4,1000156141,219899
Obec,554782,Praha,1000156141,219899
Část obce,490156,Nusle,1000156141,219899
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156141,219899
PSČ a adresní pošta,14000,Praha 4,1000156141,219899
Ulice,465666,Pod vilami,1000156141,219899
Číslo domovní,670,číslo popisné,1000156141,219899
Číslo orientační,25,,1000156141,219899
Typ adresy,1,Hlavní adresa,1000156141,219899
Zadní vchod,0,ne,1000156141,219899
Identifikátor adresy RSO (IDADR),30000515035,,1000156141,219899
Identifikátor adresy ISEO (PČD),2471259,,1000156141,219899
Identifikátor adresy RÚIAN,21945594,,1000156141,219899
Okres,40924,Praha,1000156184,684749
Městský obvod Prahy,43,Praha 4,1000156184,684749
Obec,554782,Praha,1000156184,684749
Část obce,490156,Nusle,1000156184,684749
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156184,684749
PSČ a adresní pošta,14000,Praha 4,1000156184,684749
Ulice,465666,Pod vilami,1000156184,684749
Číslo domovní,674,číslo popisné,1000156184,684749
Číslo orientační,27,,1000156184,684749
Typ adresy,1,Hlavní adresa,1000156184,684749
Zadní vchod,0,ne,1000156184,684749
Identifikátor adresy RSO (IDADR),30000070246,,1000156184,684749
Identifikátor adresy ISEO (PČD),2471201,,1000156184,684749
Identifikátor adresy RÚIAN,21945632,,1000156184,684749
Okres,40924,Praha,1000156222,219904
Městský obvod Prahy,43,Praha 4,1000156222,219904
Obec,554782,Praha,1000156222,219904
Část obce,490156,Nusle,1000156222,219904
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156222,219904
PSČ a adresní pošta,14000,Praha 4,1000156222,219904
Ulice,461156,Nad Nuslemi,1000156222,219904
Číslo domovní,678,číslo popisné,1000156222,219904
Číslo orientační,19,,1000156222,219904
Typ adresy,1,Hlavní adresa,1000156222,219904
Zadní vchod,0,ne,1000156222,219904
Identifikátor adresy RSO (IDADR),30000517305,,1000156222,219904
Identifikátor adresy ISEO (PČD),2471205,,1000156222,219904
Identifikátor adresy RÚIAN,21945675,,1000156222,219904
Okres,40924,Praha,1000156249,219906
Městský obvod Prahy,43,Praha 4,1000156249,219906
Obec,554782,Praha,1000156249,219906
Část obce,490156,Nusle,1000156249,219906
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156249,219906
PSČ a adresní pošta,14000,Praha 4,1000156249,219906
Ulice,465666,Pod vilami,1000156249,219906
Číslo domovní,680,číslo popisné,1000156249,219906
Číslo orientační,19,,1000156249,219906
Typ adresy,1,Hlavní adresa,1000156249,219906
Zadní vchod,0,ne,1000156249,219906
Identifikátor adresy RSO (IDADR),30000517313,,1000156249,219906
Identifikátor adresy ISEO (PČD),2471209,,1000156249,219906
Identifikátor adresy RÚIAN,21945691,,1000156249,219906
Okres,40924,Praha,1000156257,219907
Městský obvod Prahy,43,Praha 4,1000156257,219907
Obec,554782,Praha,1000156257,219907
Část obce,490156,Nusle,1000156257,219907
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156257,219907
PSČ a adresní pošta,14000,Praha 4,1000156257,219907
Ulice,465666,Pod vilami,1000156257,219907
Číslo domovní,681,číslo popisné,1000156257,219907
Číslo orientační,21,,1000156257,219907
Typ adresy,1,Hlavní adresa,1000156257,219907
Zadní vchod,0,ne,1000156257,219907
Identifikátor adresy RSO (IDADR),30000517321,,1000156257,219907
Identifikátor adresy ISEO (PČD),2471211,,1000156257,219907
Identifikátor adresy RÚIAN,21945705,,1000156257,219907
Okres,40924,Praha,1000156460,219926
Městský obvod Prahy,43,Praha 4,1000156460,219926
Obec,554782,Praha,1000156460,219926
Část obce,490156,Nusle,1000156460,219926
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156460,219926
PSČ a adresní pošta,14000,Praha 4,1000156460,219926
Ulice,465666,Pod vilami,1000156460,219926
Číslo domovní,707,číslo popisné,1000156460,219926
Číslo orientační,30,,1000156460,219926
Typ adresy,1,Hlavní adresa,1000156460,219926
Zadní vchod,0,ne,1000156460,219926
Identifikátor adresy RSO (IDADR),30000071081,,1000156460,219926
Identifikátor adresy ISEO (PČD),2471301,,1000156460,219926
Identifikátor adresy RÚIAN,21945918,,1000156460,219926
Okres,40924,Praha,1000156486,219928
Městský obvod Prahy,43,Praha 4,1000156486,219928
Obec,554782,Praha,1000156486,219928
Část obce,490156,Nusle,1000156486,219928
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156486,219928
PSČ a adresní pošta,14000,Praha 4,1000156486,219928
Ulice,465666,Pod vilami,1000156486,219928
Číslo domovní,712,číslo popisné,1000156486,219928
Číslo orientační,24,,1000156486,219928
Typ adresy,1,Hlavní adresa,1000156486,219928
Zadní vchod,0,ne,1000156486,219928
Identifikátor adresy RSO (IDADR),30000071102,,1000156486,219928
Identifikátor adresy ISEO (PČD),2471304,,1000156486,219928
Identifikátor adresy RÚIAN,21945934,,1000156486,219928
Okres,40924,Praha,1000156508,219930
Městský obvod Prahy,43,Praha 4,1000156508,219930
Obec,554782,Praha,1000156508,219930
Část obce,490156,Nusle,1000156508,219930
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156508,219930
PSČ a adresní pošta,14000,Praha 4,1000156508,219930
Ulice,461156,Nad Nuslemi,1000156508,219930
Číslo domovní,714,číslo popisné,1000156508,219930
Číslo orientační,11,,1000156508,219930
Typ adresy,1,Hlavní adresa,1000156508,219930
Zadní vchod,0,ne,1000156508,219930
Identifikátor adresy RSO (IDADR),30000517496,,1000156508,219930
Identifikátor adresy ISEO (PČD),2471306,,1000156508,219930
Identifikátor adresy RÚIAN,21945951,,1000156508,219930
Okres,40924,Praha,1000156516,219931
Městský obvod Prahy,43,Praha 4,1000156516,219931
Obec,554782,Praha,1000156516,219931
Část obce,490156,Nusle,1000156516,219931
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156516,219931
PSČ a adresní pošta,14000,Praha 4,1000156516,219931
Ulice,476421,V luhu,1000156516,219931
Číslo domovní,715,číslo popisné,1000156516,219931
Číslo orientační,6,,1000156516,219931
Typ adresy,1,Hlavní adresa,1000156516,219931
Zadní vchod,0,ne,1000156516,219931
Identifikátor adresy RSO (IDADR),30000517500,,1000156516,219931
Identifikátor adresy ISEO (PČD),2471307,,1000156516,219931
Identifikátor adresy RÚIAN,21945969,,1000156516,219931
Okres,40924,Praha,1000156524,219932
Městský obvod Prahy,43,Praha 4,1000156524,219932
Obec,554782,Praha,1000156524,219932
Část obce,490156,Nusle,1000156524,219932
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156524,219932
PSČ a adresní pošta,14000,Praha 4,1000156524,219932
Ulice,476421,V luhu,1000156524,219932
Číslo domovní,716,číslo popisné,1000156524,219932
Číslo orientační,3,,1000156524,219932
Typ adresy,1,Hlavní adresa,1000156524,219932
Zadní vchod,0,ne,1000156524,219932
Identifikátor adresy RSO (IDADR),30000517518,,1000156524,219932
Identifikátor adresy ISEO (PČD),2471308,,1000156524,219932
Identifikátor adresy RÚIAN,21945977,,1000156524,219932
Okres,40924,Praha,1000157041,219979
Městský obvod Prahy,43,Praha 4,1000157041,219979
Obec,554782,Praha,1000157041,219979
Část obce,490156,Nusle,1000157041,219979
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000157041,219979
PSČ a adresní pošta,14000,Praha 4,1000157041,219979
Ulice,465666,Pod vilami,1000157041,219979
Číslo domovní,772,číslo popisné,1000157041,219979
Číslo orientační,26,,1000157041,219979
Typ adresy,1,Hlavní adresa,1000157041,219979
Zadní vchod,0,ne,1000157041,219979
Identifikátor adresy RSO (IDADR),30000517798,,1000157041,219979
Identifikátor adresy ISEO (PČD),2471375,,1000157041,219979
Identifikátor adresy RÚIAN,21946515,,1000157041,219979
Okres,40924,Praha,1000159337,684808
Městský obvod Prahy,43,Praha 4,1000159337,684808
Obec,554782,Praha,1000159337,684808
Část obce,490156,Nusle,1000159337,684808
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000159337,684808
PSČ a adresní pošta,14000,Praha 4,1000159337,684808
Ulice,476421,V luhu,1000159337,684808
Číslo domovní,1081,číslo popisné,1000159337,684808
Číslo orientační,4,,1000159337,684808
Typ adresy,1,Hlavní adresa,1000159337,684808
Zadní vchod,0,ne,1000159337,684808
Identifikátor adresy RSO (IDADR),30000525430,,1000159337,684808
Identifikátor adresy ISEO (PČD),2471596,,1000159337,684808
Identifikátor adresy RÚIAN,21948895,,1000159337,684808
Okres,40924,Praha,1035263165,3479213
Městský obvod Prahy,43,Praha 4,1035263165,3479213
Obec,554782,Praha,1035263165,3479213
Část obce,490156,Nusle,1035263165,3479213
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1035263165,3479213
PSČ a adresní pošta,14000,Praha 4,1035263165,3479213
Ulice,461156,Nad Nuslemi,1035263165,3479213
Číslo domovní,1738,číslo popisné,1035263165,3479213
Číslo orientační,13,,1035263165,3479213
Typ adresy,1,Hlavní adresa,1035263165,3479213
Zadní vchod,0,ne,1035263165,3479213
Identifikátor adresy RSO (IDADR),30031166822,,1035263165,3479213
Identifikátor adresy ISEO (PČD),NA,,1035263165,3479213
Identifikátor adresy RÚIAN,74813749,,1035263165,3479213
Okres,40924,Praha,1000153649,219683
Městský obvod Prahy,43,Praha 4,1000153649,219683
Obec,554782,Praha,1000153649,219683
Část obce,490156,Nusle,1000153649,219683
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000153649,219683
PSČ a adresní pošta,14000,Praha 4,1000153649,219683
Ulice,470791,Svatoslavova,1000153649,219683
Číslo domovní,286,číslo popisné,1000153649,219683
Číslo orientační,20,,1000153649,219683
Typ adresy,1,Hlavní adresa,1000153649,219683
Zadní vchod,0,ne,1000153649,219683
Identifikátor adresy RSO (IDADR),30011669411,,1000153649,219683
Identifikátor adresy ISEO (PČD),2470938,,1000153649,219683
Identifikátor adresy RÚIAN,21943061,,1000153649,219683
Okres,40924,Praha,1000156150,684748
Městský obvod Prahy,43,Praha 4,1000156150,684748
Obec,554782,Praha,1000156150,684748
Část obce,490156,Nusle,1000156150,684748
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156150,684748
PSČ a adresní pošta,14000,Praha 4,1000156150,684748
Ulice,476722,V podluží,1000156150,684748
Číslo domovní,671,číslo popisné,1000156150,684748
Číslo orientační,6,,1000156150,684748
Typ adresy,1,Hlavní adresa,1000156150,684748
Zadní vchod,0,ne,1000156150,684748
Identifikátor adresy RSO (IDADR),30000515043,,1000156150,684748
Identifikátor adresy ISEO (PČD),2471260,,1000156150,684748
Identifikátor adresy RÚIAN,21945608,,1000156150,684748
Okres,40924,Praha,1000156168,219900
Městský obvod Prahy,43,Praha 4,1000156168,219900
Obec,554782,Praha,1000156168,219900
Část obce,490156,Nusle,1000156168,219900
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156168,219900
PSČ a adresní pošta,14000,Praha 4,1000156168,219900
Ulice,476722,V podluží,1000156168,219900
Číslo domovní,672,číslo popisné,1000156168,219900
Číslo orientační,4,,1000156168,219900
Typ adresy,1,Hlavní adresa,1000156168,219900
Zadní vchod,0,ne,1000156168,219900
Identifikátor adresy RSO (IDADR),30004750373,,1000156168,219900
Identifikátor adresy ISEO (PČD),2471199,,1000156168,219900
Identifikátor adresy RÚIAN,21945616,,1000156168,219900
Okres,40924,Praha,1000156231,219905
Městský obvod Prahy,43,Praha 4,1000156231,219905
Obec,554782,Praha,1000156231,219905
Část obce,490156,Nusle,1000156231,219905
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000156231,219905
PSČ a adresní pošta,14000,Praha 4,1000156231,219905
Ulice,476722,V podluží,1000156231,219905
Číslo domovní,679,číslo popisné,1000156231,219905
Číslo orientační,2,,1000156231,219905
Typ adresy,1,Hlavní adresa,1000156231,219905
Zadní vchod,0,ne,1000156231,219905
Identifikátor adresy RSO (IDADR),30000070980,,1000156231,219905
Identifikátor adresy ISEO (PČD),2471207,,1000156231,219905
Identifikátor adresy RÚIAN,21945683,,1000156231,219905
Okres,40924,Praha,1000159761,220217
Městský obvod Prahy,43,Praha 4,1000159761,220217
Obec,554782,Praha,1000159761,220217
Část obce,490156,Nusle,1000159761,220217
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000159761,220217
PSČ a adresní pošta,14000,Praha 4,1000159761,220217
Ulice,476722,V podluží,1000159761,220217
Číslo domovní,1132,číslo popisné,1000159761,220217
Číslo orientační,7,,1000159761,220217
Typ adresy,1,Hlavní adresa,1000159761,220217
Zadní vchod,0,ne,1000159761,220217
Identifikátor adresy RSO (IDADR),30000076015,,1000159761,220217
Identifikátor adresy ISEO (PČD),2471655,,1000159761,220217
Identifikátor adresy RÚIAN,21949344,,1000159761,220217
Okres,40924,Praha,1000164632,220644
Městský obvod Prahy,43,Praha 4,1000164632,220644
Obec,554782,Praha,1000164632,220644
Část obce,490156,Nusle,1000164632,220644
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000164632,220644
PSČ a adresní pošta,14000,Praha 4,1000164632,220644
Ulice,465666,Pod vilami,1000164632,220644
Číslo domovní,1631,číslo popisné,1000164632,220644
Číslo orientační,15,,1000164632,220644
Typ adresy,1,Hlavní adresa,1000164632,220644
Zadní vchod,0,ne,1000164632,220644
Identifikátor adresy RSO (IDADR),30000065471,,1000164632,220644
Identifikátor adresy ISEO (PČD),2472324,,1000164632,220644
Identifikátor adresy RÚIAN,21954330,,1000164632,220644
Okres,40924,Praha,1000164641,220645
Městský obvod Prahy,43,Praha 4,1000164641,220645
Obec,554782,Praha,1000164641,220645
Část obce,490156,Nusle,1000164641,220645
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000164641,220645
