Údaj,Hodnota,Kód,Text,url,budid,idob
Připojení domu na vodovod dle SLDB:,NA,1,Vodovod v domě - z veřejné sítě,buddet.jsp?budid=211781&idob=1000055256&b=0,211781,1000055256
Období výstavby nebo rekonstrukce domu dle SLDB:,NA,10,1919 a dříve,buddet.jsp?budid=211781&idob=1000055256&b=0,211781,1000055256
Počet obyvatel v budově dle SLDB - trvalý pobyt:,NA,4,6 - 9,buddet.jsp?budid=211781&idob=1000055256&b=0,211781,1000055256
Počet obyvatel v budově dle SLDB - obvyklý pobyt:,NA,5,10-14,buddet.jsp?budid=211781&idob=1000055256&b=0,211781,1000055256
Druh vlastníka budovy:,NA,4,ostatní právnické osoby,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Počet všech podlaží budovy:,5,5,5 podlaží,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Počet bytů v budově (vchodu):,10,7,10-14 bytů,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Vybavení budovy výtahem:,NA,2,bez výtahu,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Obestavěný prostor budovy v m3:,NA,NA,,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Zastavěná plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Podlahová plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Materiál nosných zdí budovy:,NA,10,"Kámen, cihly, tvárnice vč. kombinací",buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Připojení budovy na odpad:,NA,1,Přípoj na kanalizační síť,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Připojení budovy na vodovod:,NA,1,s vodovodem,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Způsob vytápění budovy:,NA,4,jiné (i bez topení),buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Připojení budovy na plyn:,NA,1,Plyn z veřejné sítě,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Druh plynu:,NA,NA,,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Topné médium - hlavní:,NA,NA,,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Topné médium - vedlejší:,NA,NA,,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Počet evidovaných obyvatel v budově:,NA,6,15-19,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Druh domu dle SLDB:,NA,4,Bytový dům,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Počet nadzemních podlaží domu dle SLDB:,NA,5,5 podlaží,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Druh vlastníka domu dle SLDB:,NA,9,Nezjištěno,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Způsob vytápění domu dle SLDB:,NA,8,Bez ústředního topení,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Připojení domu na vodovod dle SLDB:,NA,1,Vodovod v domě - z veřejné sítě,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Období výstavby nebo rekonstrukce domu dle SLDB:,NA,10,1919 a dříve,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Počet obyvatel v budově dle SLDB - trvalý pobyt:,NA,6,15-19,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Počet obyvatel v budově dle SLDB - obvyklý pobyt:,NA,6,15-19,buddet.jsp?budid=211782&idob=1000055264&b=0,211782,1000055264
Druh vlastníka budovy:,NA,4,ostatní právnické osoby,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Počet všech podlaží budovy:,4,4,4 podlaží,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Počet bytů v budově (vchodu):,11,7,10-14 bytů,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Vybavení budovy výtahem:,NA,2,bez výtahu,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Obestavěný prostor budovy v m3:,NA,NA,,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Zastavěná plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Podlahová plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
Materiál nosných zdí budovy:,NA,10,"Kámen, cihly, tvárnice vč. kombinací",buddet.jsp?budid=211785&idob=1000055299&b=0,211785,1000055299
